"","file_name","device_info_serial","start_time","end_time","duration_minutes","inPark"
"48","7087_2023-07-29 14:47:55_2023-07-29 19:51:22.csv",7087,2023-07-29 14:47:55,2023-07-29 19:51:22,303.45,0
"49","7087_2023-07-30 15:34:21_2023-07-30 19:52:39.csv",7087,2023-07-30 15:34:21,2023-07-30 19:52:39,258.3,0
"50","7088_2023-06-16 20:48:12_2023-06-16 22:27:10.csv",7088,2023-06-16 20:48:12,2023-06-16 22:27:10,98.9666666666667,0
"51","7088_2023-07-09 15:34:03_2023-07-09 17:05:12.csv",7088,2023-07-09 15:34:03,2023-07-09 17:05:12,91.15,0
"52","7088_2023-07-11 16:29:07_2023-07-11 17:44:30.csv",7088,2023-07-11 16:29:07,2023-07-11 17:39:45,70.6333333333333,0
"53","7088_2023-07-13 13:57:29_2023-07-13 16:38:43.csv",7088,2023-07-13 13:57:29,2023-07-13 16:38:43,161.233333333333,0
"54","7088_2023-07-18 18:30:45_2023-07-18 19:18:24.csv",7088,2023-07-18 18:30:45,2023-07-18 19:18:24,47.65,0
"55","7090_2023-06-17 04:12:05_2023-06-17 06:18:12.csv",7090,2023-06-17 04:12:05,2023-06-17 06:18:12,126.116666666667,0
"56","7090_2023-06-17 18:07:00_2023-06-17 19:00:00.csv",7090,2023-06-17 18:07:50,2023-06-17 18:55:16,47.4333333333333,0
"57","7090_2023-06-17 18:07:50_2023-06-17 19:00:06.csv",7090,2023-06-17 18:07:50,2023-06-17 19:00:06,52.2666666666667,0
"58","7090_2023-06-30 05:13:03_2023-06-30 05:46:05.csv",7090,2023-06-30 05:13:03,2023-06-30 05:46:05,33.0333333333333,0
"59","7090_2023-07-02 05:29:55_2023-07-02 07:15:28.csv",7090,2023-07-02 05:29:55,2023-07-02 07:15:28,105.55,0
"60","7090_2023-07-26 19:59:25_2023-07-26 21:15:53.csv",7090,2023-07-26 19:59:25,2023-07-26 21:15:53,76.4666666666667,0
"61","7092_2023-06-16 00:25:24_2023-06-16 02:09:05.csv",7092,2023-06-16 00:25:24,2023-06-16 02:09:05,103.683333333333,0
"62","7092_2023-06-20 20:10:50_2023-06-20 21:06:50.csv",7092,2023-06-20 20:15:38,2023-06-20 21:06:50,51.2,0
"63","7092_2023-06-22 00:02:34_2023-06-22 03:26:21.csv",7092,2023-06-22 00:02:34,2023-06-22 03:26:21,203.783333333333,0
"64","7092_2023-06-23 00:26:35_2023-06-23 02:41:51.csv",7092,2023-06-23 00:26:35,2023-06-23 02:41:51,135.266666666667,0
"65","7092_2023-06-25 00:56:00_2023-06-25 02:37:20.csv",7092,2023-06-25 00:56:00,2023-06-25 02:37:20,101.333333333333,0
"66","7092_2023-06-25 02:57:21_2023-06-25 04:05:16.csv",7092,2023-06-25 02:57:21,2023-06-25 04:05:16,67.9166666666667,0
"67","7092_2023-06-28 03:45:26_2023-06-28 06:27:46.csv",7092,2023-06-28 03:45:26,2023-06-28 06:27:46,162.333333333333,0
"68","7092_2023-07-09 03:34:36_2023-07-09 04:00:53.csv",7092,2023-07-09 03:34:36,2023-07-09 04:00:53,26.2833333333333,0
"69","7092_2023-07-15 03:58:36_2023-07-15 04:30:45.csv",7092,2023-07-15 04:04:19,2023-07-15 04:09:09,4.83333333333333,0
"70","7092_2023-07-18 01:20:57_2023-07-18 03:12:25.csv",7092,2023-07-18 01:25:46,2023-07-18 03:12:25,106.65,0
"71","7092_2023-07-21 03:36:19_2023-07-21 04:58:06.csv",7092,2023-07-21 03:36:19,2023-07-21 04:58:06,81.7833333333333,0
"72","7130_2023-06-13 15:52:49_2023-06-13 18:27:38.csv",7130,2023-06-13 15:52:49,2023-06-13 18:27:38,154.816666666667,0
