file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5654_2023-06-26 06:49:43_2023-06-26 08:48:38.csv,5654,2023-06-26T06:49:43Z,2023-06-26T08:48:38Z,0,1,0
5654_2023-06-27 18:00:27_2023-06-27 19:26:13.csv,5654,2023-06-27T18:00:27Z,2023-06-27T18:37:10Z,0,1,0
5654_2023-06-28 01:23:47_2023-06-28 02:34:26.csv,5654,2023-06-28T01:23:47Z,2023-06-28T02:34:26Z,0,0,0
5654_2023-06-28 19:12:13_2023-06-28 21:22:35.csv,5654,2023-06-28T19:12:13Z,2023-06-28T21:22:35Z,0,1,1
5654_2023-07-04 01:17:22_2023-07-04 02:53:37.csv,5654,2023-07-04T01:17:22Z,2023-07-04T02:53:37Z,0,1,0
5654_2023-07-04 20:59:59_2023-07-04 21:17:26.csv,5654,2023-07-04T21:00:02Z,2023-07-04T21:17:26Z,0,1,0
5654_2023-07-07 01:43:15_2023-07-07 02:22:33.csv,5654,2023-07-07T01:48:03Z,2023-07-07T02:22:33Z,0,1,0
5654_2023-07-08 19:39:24_2023-07-08 20:55:16.csv,5654,2023-07-08T19:39:25Z,2023-07-08T20:55:16Z,0,1,1
5654_2023-07-09 02:12:10_2023-07-09 02:59:30.csv,5654,2023-07-09T02:12:10Z,2023-07-09T02:59:30Z,0,0,0
5654_2023-07-10 17:28:01_2023-07-10 18:25:55.csv,5654,2023-07-10T17:32:54Z,2023-07-10T18:25:55Z,0,1,1
5654_2023-07-14 20:07:16_2023-07-14 21:11:44.csv,5654,2023-07-14T20:07:16Z,2023-07-14T21:11:44Z,0,1,0
5654_2023-07-17 10:05:49_2023-07-17 11:17:44.csv,5654,2023-07-17T10:05:49Z,2023-07-17T11:17:44Z,0,1,0
5654_2023-07-17 16:52:24_2023-07-17 17:50:00.csv,5654,2023-07-17T16:52:24Z,2023-07-17T17:45:12Z,0,1,0
5654_2023-07-19 01:34:18_2023-07-19 03:15:04.csv,5654,2023-07-19T01:34:18Z,2023-07-19T03:15:04Z,1,1,0
5654_2023-07-19 07:12:22_2023-07-19 08:26:47.csv,5654,2023-07-19T07:12:22Z,2023-07-19T08:26:47Z,0,1,1
5654_2023-07-20 01:51:12_2023-07-20 03:15:12.csv,5654,2023-07-20T01:51:12Z,2023-07-20T03:15:12Z,0,1,0
5654_2023-07-20 18:17:54_2023-07-20 18:54:02.csv,5654,2023-07-20T18:17:54Z,2023-07-20T18:54:02Z,0,1,1
5654_2023-07-21 01:04:33_2023-07-21 03:24:38.csv,5654,2023-07-21T01:04:33Z,2023-07-21T03:24:38Z,1,1,1
