file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK,counttime,temp_diff,time_diff,tempchange,temp_drop_flag,feeding_event
5942_2024-06-18 04:10:08_2024-06-18 07:32:11.csv,5942,2024-06-18T05:46:08Z,0,11.6962,Flap,0.99,37,24.2,2025-05-21T14:53:08Z,45_best,0,4.2113514,52.4492477,1,1718689568,-5.400000000000002,289,-0.018685121107266445,1,1
5965_2024-05-15 06:12:06_2024-05-15 07:43:02.csv,5965,2024-05-15T06:21:56Z,0,2.0016,TerLoco,0.54,-14,32.6,2025-06-11T09:44:38Z,45_best,0,4.9005413,52.3971793,1,1715754116,-2.3999999999999986,310,-0.007741935483870963,1,1
5965_2024-05-15 06:12:06_2024-05-15 07:43:02.csv,5965,2024-05-15T06:56:19Z,0,10.7574,Flap,1,47,32,2025-06-11T09:44:38Z,45_best,0,4.8156856,52.4110346,1,1715756179,-2.3999999999999986,575,-0.004173913043478259,1,1
5965_2024-05-27 19:11:00_2024-05-27 19:50:31.csv,5965,2024-05-27T19:13:08Z,0,0.7057,Pecking,0.56,-3,25.6,2025-06-11T09:45:51Z,45_best,0,4.5445866,52.4562042,1,1716837188,-5,9,-0.5555555555555556,1,1
5965_2024-06-02 22:50:00_2024-06-02 23:28:23.csv,5965,2024-06-02T22:59:35Z,0,0.8206,Float,1,0,24.4,2025-06-11T09:45:38Z,45_best,0,4.561333,52.496298,1,1717369175,-5.900000000000002,287,-0.020557491289198614,1,1
5965_2024-06-05 03:59:58_2024-06-05 04:57:46.csv,5965,2024-06-05T04:19:10Z,0,16.0357,Manouvre,0.67,8,24.5,2025-06-11T09:45:30Z,45_best,0,4.5064233,52.505068,1,1717561150,-2.6000000000000014,288,-0.009027777777777782,1,1
5965_2024-06-05 13:14:04_2024-06-05 14:01:48.csv,5965,2024-06-05T13:43:49Z,0,1.6232,ExFlap,1,1,28.6,2025-06-11T09:45:34Z,45_best,0,4.4638336,52.3988474,1,1717595029,-2.099999999999998,27,-0.0777777777777777,1,1
5965_2024-06-06 16:09:38_2024-06-06 16:44:47.csv,5965,2024-06-06T16:21:21Z,0,3.8708,Flap,0.7,9,23.9,2025-06-11T09:45:25Z,45_best,0,4.472066,52.3862809,1,1717690881,-5.200000000000003,9,-0.5777777777777781,1,1
5965_2024-06-08 08:13:26_2024-06-08 09:22:43.csv,5965,2024-06-08T09:07:29Z,0,1.8735,ExFlap,0.67,-5,26.2,2025-06-11T09:45:16Z,45_best,0,4.4380721,52.4184935,1,1717837649,-3.6999999999999993,9,-0.41111111111111104,1,1
5965_2024-06-08 19:50:33_2024-06-08 20:09:44.csv,5965,2024-06-08T20:09:44Z,0,0.2677,Float,0.37,4,23.9,2025-06-11T09:45:20Z,45_best,0,4.5757627,52.464824900000004,1,1717877384,-4.600000000000001,288,-0.015972222222222228,1,1
5965_2024-06-13 06:04:04_2024-06-13 07:18:57.csv,5965,2024-06-13T06:26:48Z,0,1.0456,Flap,0.75,4,23,2025-06-11T09:44:49Z,45_best,0,4.3708721,52.4809348,1,1718260008,-3.6999999999999993,36,-0.10277777777777776,1,1
5965_2024-06-14 00:01:34_2024-06-14 02:24:51.csv,5965,2024-06-14T00:54:59Z,0,0.6849,Float,0.85,1,28.5,2025-06-11T09:44:43Z,45_best,0,4.5141757,52.4468165,1,1718326499,-3,284,-0.01056338028169014,1,1
5965_2024-06-18 01:45:17_2024-06-18 02:59:26.csv,5965,2024-06-18T02:26:06Z,0,0.3651,SitStand,0.67,-2,20.6,2025-06-11T09:44:24Z,45_best,0,4.4534406,52.3150118,1,1718677566,-5.099999999999998,9,-0.5666666666666664,1,1
5965_2024-06-21 18:52:07_2024-06-21 20:58:19.csv,5965,2024-06-21T19:23:03Z,0,4.0842,Flap,0.96,-4,24.1,2025-06-11T09:44:16Z,45_best,0,4.4622095,52.6160986,1,1718997783,-7.299999999999997,9,-0.8111111111111108,1,1
